FPR	TPR
0.0	0.0
0.0	0.0047169811320754715
0.0	0.07547169811320754
0.00425531914893617	0.07547169811320754
0.00425531914893617	0.1320754716981132
0.00851063829787234	0.1320754716981132
0.00851063829787234	0.14150943396226415
0.01702127659574468	0.14150943396226415
0.01702127659574468	0.18867924528301888
0.02127659574468085	0.18867924528301888
0.02127659574468085	0.20754716981132076
0.02553191489361702	0.20754716981132076
0.02553191489361702	0.24528301886792453
0.029787234042553193	0.24528301886792453
0.029787234042553193	0.30660377358490565
0.03404255319148936	0.30660377358490565
0.03404255319148936	0.3113207547169811
0.03829787234042553	0.3113207547169811
0.03829787234042553	0.32075471698113206
0.0425531914893617	0.32075471698113206
0.0425531914893617	0.35377358490566035
0.04680851063829787	0.35377358490566035
0.04680851063829787	0.3632075471698113
0.5617021276595745	0.8867924528301887
0.5702127659574469	0.8867924528301887
0.5702127659574469	0.8915094339622641
0.574468085106383	0.8915094339622641
0.574468085106383	0.9009433962264151
0.6170212765957447	0.9009433962264151
0.6170212765957447	0.9056603773584906
0.6212765957446809	0.9056603773584906
0.6212765957446809	0.910377358490566
0.6340425531914894	0.910377358490566
0.6340425531914894	0.9150943396226415
0.6510638297872341	0.9150943396226415
0.6510638297872341	0.9198113207547169
0.6553191489361702	0.9198113207547169
0.6553191489361702	0.9245283018867925
0.6723404255319149	0.9245283018867925
0.6723404255319149	0.9339622641509434
0.6808510638297872	0.9339622641509434
0.6808510638297872	0.9386792452830188
0.7063829787234043	0.9386792452830188
0.7063829787234043	0.9433962264150944
0.7574468085106383	0.9433962264150944
0.7574468085106383	0.9481132075471698
0.7787234042553192	0.9481132075471698
0.7787234042553192	0.9575471698113207
0.7914893617021277	0.9575471698113207
0.7914893617021277	0.9622641509433962
0.7957446808510639	0.9622641509433962
0.7957446808510639	0.9669811320754716
0.8	0.9669811320754716
0.8	0.9716981132075472
0.8127659574468085	0.9716981132075472
0.8127659574468085	0.9764150943396226
0.8212765957446808	0.9764150943396226
0.8212765957446808	0.9811320754716981
0.8765957446808511	0.9811320754716981
0.8765957446808511	0.9858490566037735
0.9276595744680851	0.9858490566037735
0.9276595744680851	0.9905660377358491
0.9829787234042553	0.9905660377358491
0.9829787234042553	1.0
1.0	1.0
