features_num,mean_accuracy,accuracy_variance,mean_auroc,auroc_variance,mean_F1,F1_variance,mean_aurp,aurp_variance
640,0.7761689217464082,0.00023980716753276696,0.8550033379030483,0.00041396838007626497,0.780874639727698,0.00019867247842636596,0.8374590805712364,0.001202422861622864
600,0.7365413586274235,0.0008776447939695417,0.8124173531409881,0.001062454233238466,0.7239248473023212,0.0031577780125797254,0.7932210139393844,0.0019901296222401875
560,0.741420700237132,0.0005126703212816621,0.8145173290513293,0.0003868764904800447,0.7437339842854691,0.0006237050633445891,0.7885817306724159,0.000951943894314528
520,0.7709366717812804,0.0004205719764782113,0.8322088139709087,0.0004542427139536553,0.7701467757133174,0.0005149288132219981,0.8123944145400339,0.000840894661453505
480,0.7559917701213559,0.0005625168799476676,0.823389310479542,0.0005401728808854913,0.7519093898457212,0.0007701745841422647,0.8064353255175265,0.0013910846805460027
440,0.7518754359045892,0.0005599891027379345,0.8232398876774631,0.000855804585340938,0.7533590469647915,0.0005391599567970177,0.8014967442834082,0.0022423728014547223
400,0.7559945599107266,0.0005313841380997485,0.8346666017315435,0.00028542656363829226,0.7455164942141942,0.0009098904456860422,0.8090900999199695,0.00085695116319877
360,0.8012156507183708,0.0011926589449805782,0.8532971952345589,0.000995768935188053,0.7931355187817756,0.0013772379281734427,0.8299016655323135,0.003366650874933052
320,0.7701855209931651,0.00048326713793702785,0.8345144806199011,0.00016434309783666402,0.7655142894942446,0.0008446842259231601,0.7966333525469781,0.0015802967726360445
280,0.755231552517785,3.4970939823768524e-05,0.8285914608405467,0.00016312593403102355,0.7528641538964443,0.00016459400916087345,0.8123579310152131,0.00041542397657656294
240,0.7395466592272284,0.0003220378981347845,0.8234819409987644,0.0007998427369211331,0.7353370249443845,0.0005415740924499226,0.8010835054246878,0.0019360483365170687
200,0.7432856744315803,0.0005164383231136075,0.811368068512661,0.0004807213665844629,0.7379071696201999,0.0010717646510745482,0.7918180381406709,0.0013650041018973685
160,0.7473880597014926,0.00027656834154104424,0.8094386651512788,0.0005926547551628663,0.7458779707594794,0.0003171471438278657,0.788568948875586,0.0009799018510652795
120,0.652895103919654,0.012032968548948211,0.6609443615984497,0.02199234289824988,0.7049837793271173,0.0021746032228431573,0.6533038786035313,0.023770059934755512
80,0.4999979076579718,0.0005338223027140938,0.4985179491492165,4.457695494098475e-06,0.3905407268675242,0.10174557812331057,0.499266915017364,0.0005188425237536048
40,0.4999979076579718,0.0005338223027140938,0.5,0.0,0.2597231168046311,0.10124530454997693,0.5000020923420282,0.0005338223027140942
