features_num,mean_accuracy,accuracy_variance,mean_auroc,auroc_variance,mean_F1,F1_variance,mean_aurp,aurp_variance
640,0.8120497977402706,0.0011276882956544776,0.881987621816922,0.0006419918530397842,0.8131209553589247,0.001485537359171218,0.8709861991397304,0.001501935123893274
600,0.7731719905147161,0.0003934537664403816,0.8546241922341686,0.0004917353788233671,0.7741812857624442,0.0007900071705558731,0.842796037794348,0.001056080433741839
560,0.7798974752406194,0.0004649461039272234,0.8596516462161,0.00031851081154155643,0.7789613874663505,0.0010530627145377354,0.8383273505318046,0.0011312617799887795
520,0.784026363509555,0.0007849431946699579,0.8537886283245875,0.001124280273518702,0.7828137457672535,0.0009720112852124599,0.8393854305296851,0.0026339272348139915
480,0.8053222206723394,0.0011194273281174636,0.8672332911575935,0.0011009878192429054,0.8074931075253419,0.0013662542336949051,0.842646715459035,0.001517575901891205
440,0.7821390710001396,0.0002949943302366175,0.85883020477835,0.00018969499225807883,0.781102751236111,0.00023766561906210949,0.85602361260271,0.0005008867740782897
400,0.7675714883526294,0.0021838518204290135,0.8473204653488627,0.0012493977116016623,0.777047450873356,0.0019904811711839074,0.8341096868137349,0.002298103944729895
360,0.7066710838331706,0.0008627946155625298,0.8074008911886544,0.00039137346262917616,0.7125735828392085,0.0010331672434911524,0.7971702038020994,0.0013631949754073214
320,0.7010489608034594,0.00015625967891816378,0.8035833483930543,0.0003681143452358638,0.7104099168726324,7.881260273700571e-05,0.7931192932522898,0.0009696000014316128
280,0.6988220114381365,0.0006322963649791653,0.7984149053234122,0.0004901105827066622,0.698303074106021,0.0020618844618551543,0.7888581256039782,0.0014295577884758438
240,0.7133812247175338,0.0004965028030884434,0.8122020104143054,0.0004956132108939488,0.7289681206141458,0.0004495560525853876,0.8062372346368628,0.0016842283442710514
200,0.6988080624912818,0.0004872135419154564,0.8025595346097212,0.000452857168254015,0.6876839558709731,0.0014627791617393157,0.7954909035422586,0.0016839434522915669
160,0.6950753243130144,0.000937150880615557,0.801237677155644,0.0006294832501791215,0.6995930063763867,0.002012215342611202,0.790250956445566,0.001330712668037009
120,0.6602838610684894,0.009538686214286371,0.7863694081458134,0.0014092891344290334,0.7286772312930865,0.00019111148942048764,0.7715763427060853,0.0021680015122793614
80,0.4999979076579718,0.0005338223027140938,0.548642744450739,0.007574824371206268,0.5397125899263728,0.0731398630652014,0.548514595265881,0.002984884499421458
40,0.4999979076579718,0.0005338223027140938,0.5,0.0,0.5282858249067399,0.07005028483729578,0.5000020923420282,0.0005338223027140942
