features_num,mean_accuracy,accuracy_variance,mean_auroc,auroc_variance,mean_F1,F1_variance,mean_aurp,aurp_variance
640,0.7612128609289999,0.0001769821693778065,0.8206825721522317,0.00027497490871345934,0.7568783549884313,0.0003181446252320566,0.8122456970744546,0.0007966112024981539
600,0.7642000278978938,9.708323026633132e-05,0.8207042374742471,0.00019717730890162093,0.7593870983341853,0.0001301358582058471,0.8143818540954243,0.0006533997971342515
560,0.7522443855488911,0.00016038160925238711,0.8209743419400682,0.0001490723721807334,0.7496282066066559,0.00022084515318080504,0.8162748032153611,0.0005995701170748964
520,0.7544838889663831,0.00016870874916121939,0.8221588932935561,0.00017685045062611643,0.7517050198644839,0.0002421294469445738,0.8164069559279523,0.0005955577302247417
480,0.7477556144511089,0.0002358467153751941,0.8172544252645635,0.00011048534347246474,0.7428810782895385,0.0003891781760708463,0.8146829919216229,0.0005824535316303443
440,0.7425282466173804,7.907889124687687e-05,0.814405519247185,9.915768318485057e-05,0.740165681549102,0.00011397849041948696,0.8076092378281509,0.0006485397954350007
400,0.7320630492397824,0.00034024655644008763,0.807360452216078,0.00012981371270148545,0.7316101519253844,0.0003677200023556549,0.7995023107545074,0.0006138707800075799
360,0.7163704840284558,0.00017777831393481504,0.7933912780166409,9.446430369171496e-05,0.7019859292709647,0.00019275039253397472,0.7858591791808088,0.0006374435178353053
320,0.7137550564932347,0.00018310047244104308,0.7917408505271614,0.00010914364862842977,0.6990987739532791,0.00020731649922206796,0.7849161904525304,0.0006532827927913447
280,0.7141295857162784,0.00020858464186511924,0.7923878568663519,9.515306705921594e-05,0.6991523503003687,0.00022759364680532165,0.7854409098476914,0.0006267202702018506
240,0.7085235039754499,0.00022155188950830838,0.7873234070793182,5.012582694521974e-05,0.6910419247219249,0.00032101161996141457,0.7793558778423079,0.0006232316503429296
200,0.7085235039754499,0.00022155188950830838,0.7873373768321779,4.978371162243617e-05,0.6910419247219249,0.00032101161996141457,0.7792671964451625,0.0006236994351646977
160,0.705534244664528,0.0001467304779585525,0.7845543482377961,9.729176252144491e-05,0.688773475291905,0.00015088680259976308,0.7783237666026229,0.000756181989880743
120,0.7025435904589205,0.0001261684266551086,0.782787175276064,0.00010923272041197003,0.6853728719764833,0.00012038852088393852,0.7762256154021259,0.0008067333932429814
80,0.6984335332682383,0.00019175647010585391,0.7732349093267764,0.0001329118555550368,0.673188887275891,0.00016380337729002042,0.769604687709369,0.0009010440985817968
40,0.6943199888408425,0.00019916507507477336,0.7735853969253419,0.0001316420313150137,0.6694724760616901,0.00012439179420128214,0.7683741635238474,0.0008880874016417818
