features_num,mean_accuracy,accuracy_variance,mean_auroc,auroc_variance,mean_F1,F1_variance,mean_aurp,aurp_variance
640,0.7701827312037941,0.0003016211462531995,0.8440113320368227,0.000198918606213304,0.7735664327898208,0.00036784164348276473,0.8337084602801322,0.0004158478488083782
600,0.7926112428511647,0.000829411804879507,0.8563029306743358,0.0009924951104380686,0.7979412711936323,0.0009967499460102184,0.8301669775994214,0.0024913543337692083
560,0.7772855349421118,0.00024221688361147792,0.8517571924571323,0.00039469087219151395,0.7784641253102157,0.0007511953682717694,0.8336658278346789,0.0010286424910949253
520,0.7780345933881991,0.00026930856749608203,0.8465701354100087,0.00041934646120451774,0.7788280068276852,0.000538778181380825,0.8214761636402083,0.0019332712853442784
480,0.7948514437159994,0.0008240284492360967,0.8506244733640808,0.0006023477285396455,0.7912301243947897,0.001033789580541026,0.8244070043697059,0.0013795719689605542
440,0.7765511228902218,0.00078975006907832,0.8559495295317779,0.00041861116432283154,0.7857370640742559,0.0008436260416921457,0.8363995265967782,0.0007304975387510193
400,0.7948605105314549,0.0016896893836684398,0.8696216787383813,0.0011982460179153554,0.8053538183621585,0.0020887424789188254,0.8456963452961256,0.00199706915908489
360,0.7253438415399638,0.0006146104915654394,0.8197012152252114,0.00042978474271849744,0.739557243686897,0.0007143271993453648,0.8084696787478547,0.0015579643147460435
320,0.721606221230297,0.00039139667133259554,0.822442778892165,0.0003765623336278624,0.7290750922954397,0.00039052569396763744,0.81396662985744,0.0018107457034732901
280,0.716746408146185,0.0002549603274167478,0.8075107175100189,0.0005418616355433784,0.7231018135975894,0.0008127494657058414,0.7980712607644507,0.0015793744662837201
240,0.6913411912400613,0.0008330651272612287,0.8035021672705032,0.0005290771407062983,0.683900347882888,0.001550156851675693,0.793043875613346,0.0015169217473203391
200,0.7287153019946994,0.0010792810235308765,0.8184006642870335,0.000740877599687732,0.736870021146071,0.0011283770490374473,0.8070209152330803,0.0023854470611623362
160,0.7006821035011856,0.0006973007980358072,0.801953568103607,0.0006854647374364539,0.7320837532466973,0.001073883761726049,0.7926245628944144,0.0015550416939254976
120,0.667775840424048,0.009744057798256121,0.7548546924219236,0.008696861474841134,0.5879498216552809,0.08684890388789986,0.7511766160170474,0.004064598976702741
80,0.4999979076579718,0.0005338223027140938,0.505487142810859,0.00017098003950557117,0.2597231168046311,0.10124530454997693,0.5041095771117899,0.0004849810721360287
40,0.4999979076579718,0.0005338223027140938,0.5,0.0,0.2582061450947402,0.10003501643595039,0.5000020923420282,0.0005338223027140942
