features_num,mean_accuracy,accuracy_variance,mean_auroc,auroc_variance,mean_F1,F1_variance,mean_aurp,aurp_variance
640,0.7612128609289999,0.0001769821693778065,0.8206797777141748,0.0002750004787352602,0.7568783549884313,0.0003181446252320566,0.8122461209332599,0.0007967886913759692
600,0.68423490026503,0.00016454833810137948,0.7228691926504915,0.00021077815175478415,0.6789586237600047,0.00014334229801591237,0.7109073267893351,0.0004735861009971978
560,0.6827388757148836,0.00010305861159121508,0.7224371052424785,0.0001994469125556618,0.678004594330973,0.00016737551951419893,0.7112290928910093,0.0005141800928224804
520,0.6827360859255126,0.00013284356879709488,0.7201797677960495,0.00021144993399913747,0.6810327909659786,0.0002805516150713757,0.7142664280992979,0.0006282956934102112
480,0.6849762867903474,0.00012317210181054012,0.7196559702203503,0.00020268153291156643,0.682350776927048,0.000255075524906862,0.7119819670829984,0.000583092931149095
440,0.687219277444553,0.00014081712848953081,0.7233389322775219,0.00026859421036639784,0.6831612086496606,0.00038481771290725637,0.7138430093927867,0.0007484421861719011
400,0.6808690193890362,7.602878444666534e-05,0.7214608251688224,0.0002613001442203462,0.6777705703495684,0.0002563649215383838,0.7104771902531913,0.0008951588952348418
360,0.6722667038638583,0.00014528248621483475,0.7088892326766849,0.00015776221828946486,0.6701980094621305,0.0004476066577337452,0.6921657000469346,0.0003690709563043013
320,0.6696526712233226,8.242674550717514e-05,0.7088815369180199,0.00023347555204039283,0.6707427538750347,0.00042636413131791806,0.6957117138810623,0.0003718440968354435
280,0.6662881852420142,0.00014081104029665698,0.7084139635267374,0.00024754666613000605,0.6669362215759305,0.00038132811082307517,0.6959706287381312,0.00034805661929029636
240,0.6546973078532571,0.0003569520226079944,0.6962624149068161,0.00013742728570913023,0.6544179454817473,0.0008749706024277944,0.6834118166847933,0.0002034539036328757
200,0.6371509276049659,6.44591341095412e-05,0.6762704876402179,0.00014308177827888397,0.6382734033623406,0.00037629749866563737,0.6661054109207768,0.00017576557267068334
160,0.6098660901101967,0.00019983055405415405,0.6464737233761062,0.00014792316916180007,0.6143501960870961,0.0005802932311040609,0.6285062856753616,0.00018534518639547266
120,0.5874480401729669,0.00033239024845450015,0.6172602464566237,0.00025605741493172745,0.5875948396235389,0.0007781928413757479,0.5976676640923099,0.0004539539338576726
80,0.5818398660901102,0.00010976469669621309,0.6098974508258083,8.611981032442566e-05,0.5815497915685304,0.0003732574612618948,0.5981121175471236,0.00024226953064537685
40,0.5612881852420142,0.0003669934742705553,0.5822797462842149,0.0004924591108248606,0.553705804408964,0.00020979087572280602,0.5769928973005412,0.0004966559907039434
